artist_names,track_name
Sabrina Carpenter,Slim Pickins
Sabrina Carpenter,Dumb & Poetic
Sabrina Carpenter,Don’t Smile
Sabrina Carpenter,Lie To Girls
Oasis,Wonderwall - Remastered
"Maisak, Feid",SE ME OLVIDA
Travis Scott,Drugs You Should Try It
"Mari Fernandez, Zé Felipe","Louco, Louco - Ao Vivo"
"Sachin-Jigar, Amitabh Bhattacharya, Madhubanti Bagchi, Divya Kumar","Aaj Ki Raat (From ""Stree 2"")"
Teddy Swims,The Door
Bernadya,"Untungnya, Hidup Harus Tetap Berjalan"
"Offset, Metro Boomin",Ric Flair Drip (with Metro Boomin)
Alex Warren,Carry You Home
LE SSERAFIM,CRAZY
Oasis,Don't Look Back in Anger - Remastered
"Tito Double P, Peso Pluma",DOS DÍAS
The Kid LAROI,BABY I'M BACK
KATSEYE,Touch
El Padrinito Toys,Tal Vez Fui Yo
"Kaique e Felipe, Luan Pereira",Saveiro
Tito Double P,EL LOKERON
"NATTAN, Zé Felipe, O REI DA BATIDINHA",Patrai
Addison Rae,Diet Pepsi
Surf Curse,Disco
Twenty One Pilots,Stressed Out
Linkin Park,The Emptiness Machine
"Megan Thee Stallion, RM",Neva Play (feat. RM of BTS)
Linkin Park,Faint
Linkin Park,One Step Closer
"Tito Double P, Chino Pacas",ESCAPATE
Red Hot Chili Peppers,Can't Stop
Surf Curse,Freaks
"Daniel Caesar, H.E.R.",Best Part (feat. H.E.R.)
Playboi Carti,ALL RED
The Weeknd,Dancing In The Flames
Tate McRae,It's ok I'm ok
Julión Álvarez y su Norteño Banda,Rey Sin Reina
"Cris MJ, FloyyMenor, LOUKI",Después De La 1
Odetari,KEEP UP
Ed Sheeran,Photograph
Ndotz,Embrace It
Anuv Jain,Jo Tum Mere Ho
Bernadya,Kata Mereka Ini Berlebihan
The Cranberries,Linger
Bad Bunny,Una Velita
Linkin Park,Heavy Is the Crown
"Yandel, Feid",HABLAME CLARO
Future,TEFLON DON
"The Weeknd, Playboi Carti",Timeless (feat Playboi Carti)
"Omar Courtz, De La Rose",Q U E V A S H A C E R H O Y ?
girl in red,we fell in love in october
Shakira,Soltera
Don Toliver,NEW DROP
Bruno Mars,It Will Rain
Billie Eilish,ocean eyes
Ed Sheeran,Shape of You
"Valentino Merlo, The La Planta",Hoy
LISA,Moonlit Floor (Kiss Me)
"Oscar Maydon, Fuerza Regida",Tu Boda
Crowded House,Don't Dream It's Over
HUMBE,KINTSUGI
Coldplay,feelslikeimfallinginlove
"A$AP Rocky, Imogen Heap, Clams Casino",I Smoked Away My Brain (I'm God x Demons Mashup) (feat. Imogen Heap & Clams Casino)
Justin Bieber,Love Yourself
Justin Bieber,Sorry
JENNIE,Mantra
"Charli xcx, Ariana Grande",Sympathy is a knife featuring ariana grande
"Tito Double P, Grupo Frontera",AY MAMÁ
"KSI, Trippie Redd",Thick Of It (feat. Trippie Redd)
Creepy Nuts,オトノケ - Otonoke
One Direction,Story of My Life
Junior H,PIÉNSALO
Henrique & Juliano,Última Saudade - Ao Vivo
"Victor Mendivil, Oscar Maydon",Mejores Jordans
"ROSÉ, Bruno Mars",APT.
Morgan Wallen,Love Somebody
One Direction,Perfect
Gracie Abrams,That’s So True
One Direction,What Makes You Beautiful
One Direction,Steal My Girl
"Tyler, The Creator",Noid
Bruno Mars,Treasure
aespa,UP - KARINA Solo
aespa,Whiplash
Capital Cities,Safe and Sound
"Myke Towers, benny blanco",DEGENERE 👑 (feat. benny blanco)
One Direction,You & I
"Tyler, The Creator, Daniel Caesar",St. Chroma (feat. Daniel Caesar)
"Tyler, The Creator",Rah Tah Tah
"Tyler, The Creator, Teezo Touchdown","Darling, I (feat. Teezo Touchdown)"
"Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne","Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)"
Jin,I'll Be There
Lady Gaga,Disease
"MC Tuto, DJ Glenner",Barbie
"Tyler, The Creator",Hey Jane
"Tyler, The Creator, ScHoolboy Q, Santigold",Thought I Was Dead (feat. ScHoolboy Q & Santigold)
"Tyler, The Creator",Judge Judy
"Tyler, The Creator, Daniel Caesar, LaToiya Williams",Take Your Mask Off (feat. Daniel Caesar & LaToiya Williams)
"Tyler, The Creator",I Killed You
"Gabito Ballesteros, Natanael Cano, Luis R Conriquez, Neton Vega",PRESIDENTE
"Tyler, The Creator, Lola Young",Like Him (feat. Lola Young)
"Tyler, The Creator",Tomorrow
"Tyler, The Creator, Doechii",Balloon (feat. Doechii)
Ray Parker Jr.,Ghostbusters
Michael Jackson,Thriller
"Tyler, The Creator",I Hope You Find Your Way Home
"Bobby ""Boris"" Pickett, The Crypt-Kickers",Monster Mash
"W Sound, Blessd, Ovy On The Drums",Soltera - W Sound 01
The Citizens of Halloween,This Is Halloween
"Tyler, The Creator",BEST INTEREST
Alec Benjamin,Let Me Down Slowly
Britney Spears,Toxic
"The Weeknd, Anitta",São Paulo (feat. Anitta)
Mariah Carey,All I Want for Christmas Is You
"Duki, Myke Towers",Nueva Era
BABYMONSTER,DRIP
Teddy Swims,Bad Dreams
Bruno Mars,Grenade
Cigarettes After Sex,Cry
Gracie Abrams,"I miss you, I’m sorry"
"The Chainsmokers, Halsey",Closer
"KAROL G, Feid, DFZM, Ovy On The Drums, J Balvin, Maluma, Ryan Castro, Blessd",+57
"Ryan Castro, Peso Pluma, SOG",QUEMA
Arctic Monkeys,No. 1 Party Anthem
Brenda Lee,Rockin' Around The Christmas Tree
The Marías,No One Noticed
Don Toliver,No Pole
Gunna,on one tonight
Lil Tecca,Ransom
Bobby Helms,Jingle Bell Rock
"Maroon 5, Wiz Khalifa",Payphone
Ariana Grande,Santa Tell Me
Jin,Running Wild
"Rauw Alejandro, Bad Bunny",Qué Pasaría...
Linkin Park,Two Faced
"Rauw Alejandro, Romeo Santos",Khé?
Jin,I’ll Be There
Tate McRae,2 hands
"Rauw Alejandro, Laura Pausini",Se Fue
Linkin Park,Over Each Other
Rauw Alejandro,Tú Con Él
Linkin Park,Cut the Bridge
Dean Martin,Let It Snow! Let It Snow! Let It Snow!
Linkin Park,Stained
Michael Bublé,It's Beginning to Look a Lot like Christmas
Linkin Park,Casualty
Linkin Park,Overflow
Linkin Park,Good Things Go
"Rauw Alejandro, Feid",Revolú
Andy Williams,It's the Most Wonderful Time of the Year
Chezile,Beanie
Kelly Clarkson,Underneath the Tree
"MC LUUKY, DJ JB Mix",Malvadinho
Linkin Park,IGYEIH
"Jin, WENDY",Heart on the Window (with WENDY)
"Kendrick Lamar, SZA",luther (with sza)
Kendrick Lamar,squabble up
"Kendrick Lamar, Lefty Gunplay",tv off (feat. lefty gunplay)
Kendrick Lamar,wacced out murals
"Arcane, Stromae, Pomme",Ma Meilleure Ennemie (from the series Arcane League of Legends)
"Kendrick Lamar, Dody6",hey now (feat. dody6)
Kendrick Lamar,reincarnated
Kendrick Lamar,man at the garden
"Kendrick Lamar, Wallie the Sensei, Siete7x, Roddy Ricch","dodger blue (feat. wallie the sensei, siete7x, roddy ricch)"
Kendrick Lamar,heart pt. 6
"Kendrick Lamar, AZ Chike",peekaboo (feat. azchike)
"Kendrick Lamar, SZA",gloria (with sza)
"Kendrick Lamar, Hitta J3, YoungThreat, Peysoh","gnx (feat. hitta j3, youngthreat, peysoh)"
ROSÉ,number one girl
Tito Double P,NADIE
"Cynthia Erivo, Ariana Grande",Defying Gravity
Juice WRLD,All Girls Are The Same
Ariana Grande,Popular
Juice WRLD,Lucid Dreams
Michael Bublé,Holly Jolly Christmas
José Feliciano,Feliz Navidad
"Twenty One Pilots, Arcane, League of Legends",The Line (from the series Arcane League of Legends)
"GloRilla, Sexyy Red",WHATCHU KNO ABOUT ME (feat. Sexyy Red)
"Arcane, Woodkid",To Ashes and Blood (from the series Arcane League of Legends)
Chino Pacas,Morena Canela
The Ronettes,Sleigh Ride
"Ariana Grande, Cynthia Erivo",What Is This Feeling?
Maluma,Cosas Pendientes
John Williams,"Carol of the Bells (From ""Home Alone"" Soundtrack)"
"Ashnikko, Arcane, League of Legends",Paint The Town Blue (from the series Arcane League of Legends)
"Perry Como, The Fontane Sisters, Mitchell Ayres & His Orchestra",It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra)
Wham!,Last Christmas
"V, Park Hyo Shin",Winter Ahead (with PARK HYO SHIN)
Justin Bieber,Mistletoe
Nat King Cole,The Christmas Song (Merry Christmas To You)
Juice WRLD,Empty Out Your Pockets
"John Lennon, Yoko Ono",Happy Xmas (War Is Over) - Remastered 2010
"Arcane, Twenty One Pilots",The Line (from the series Arcane League of Legends)
"Bing Crosby, Ken Darby Singers, John Scott Trotter & His Orchestra",White Christmas - 1947 Version
Shakin' Stevens,Merry Christmas Everyone
Paul McCartney,Wonderful Christmastime - Edited Version / Remastered 2011
Frank Sinatra,Let It Snow! Let It Snow! Let It Snow!
Nat King Cole,Deck The Hall
Darlene Love,Christmas (Baby Please Come Home)
Chase Atlantic,Swim
yung kai,blue
Chuck Berry,Run Rudolph Run
Laufey,Winter Wonderland - Spotify Singles Holiday
"Ed Sheeran, Elton John",Merry Christmas
Elvis Presley,Blue Christmas
Chris Rea,Driving Home for Christmas - 2019 Remaster
Frank Sinatra,Jingle Bells - Remastered 1999
Juice WRLD,Misfit
Pentatonix,Hallelujah
"Arcane, Ashnikko",Paint The Town Blue (from the series Arcane League of Legends)
Frank Sinatra,Have Yourself A Merry Little Christmas - Remastered 1999
"Eartha Kitt, Henri René and His Orchestra",Santa Baby (with Henri René & His Orchestra)
Elton John,Step Into Christmas - Remastered 1995
"Arcane, d4vd",Remember Me (from the series Arcane League of Legends)
ROSÉ,toxic till the end
Bad Bunny,EL CLúB
"V, Bing Crosby",White Christmas (with V of BTS)
Tito Double P,ROSONES
The Moonglows,Hey Santa Claus
Lola Young,Messy
"Frank Sinatra, B. Swanson Quartet",Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)
Sabrina Carpenter,A Nonsense Christmas
Peso Pluma,gervonta
Burl Ives,A Holly Jolly Christmas
"Natanael Cano, Nueva H",Amapola
Band Aid,Do They Know It's Christmas? - 1984 Version
"The Pogues, Kirsty MacColl",Fairytale of New York (feat. Kirsty MacColl)
The Beach Boys,Little Saint Nick - 1991 Remix
"Kelly Clarkson, Ariana Grande","Santa, Can’t You Hear Me"
ROSÉ,drinks or coffee
"Bing Crosby, The Andrews Sisters",Mele Kalikimaka (Merry Christmas)
Mariah Carey,Christmas (Baby Please Come Home)
Gene Autry,Here Comes Santa Claus (Right Down Santa Claus Lane) - 1947 Version
"Tito Double P, Junior H",5-7
"Jorsshh, Fuerza Regida",ROSONES
"Brenno & Matheus, DJ Ari SL",Descer Pra BC
Britney Spears,My Only Wish (This Year)
Burl Ives,Christmas Child
Eagles,Please Come Home for Christmas - 2013 Remaster
Tyla,PUSH 2 START
"Gwen Stefani, Blake Shelton",You Make It Feel Like Christmas (feat. Blake Shelton)
Vince Guaraldi Trio,Christmas Time Is Here
Mark Ambor,Run Rudolph Run - Spotify Singles Holiday
Queen,Thank God It's Christmas - Non-Album Single
Taylor Swift,Christmas Tree Farm
Burl Ives,Rudolph The Red-Nosed Reindeer
Bruce Springsteen,"Santa Claus Is Comin' to Town - Live at C.W. Post College, Greenvale, NY - December 1975"
Kesha,Holiday Road - Spotify Singles Holiday
Coldplay,Christmas Lights
Céline Dion,O Holy Night
Jonas Brothers,Like It's Christmas
Daryl Hall & John Oates,Jingle Bell Rock - Daryl's Version
Laufey,Santa Baby
Meghan Trainor,I'll Be Home
The Weavers,We Wish You A Merry Christmas
Sia,Santa's Coming for Us
"SZA, Kendrick Lamar",30 For 30 (with Kendrick Lamar)
Bing Crosby,Do You Hear What I Hear? - Remastered 2006
Donny Hathaway,This Christmas
Michael Bublé,Winter Wonderland
Nat King Cole,Joy To The World
Ava Max,Christmas Without You
Bing Crosby,Winter Wonderland - Remastered 2006
Elvis Presley,Here Comes Santa Claus (Right Down Santa Claus Lane)
Ella Fitzgerald,Frosty The Snowman
*NSYNC,"Merry Christmas, Happy Holidays"
The Jackson 5,I Saw Mommy Kissing Santa Claus
Ariana Grande,Last Christmas
Dean Martin,Rudolph The Red-Nosed Reindeer
"Idina Menzel, Michael Bublé",Baby It's Cold Outside (with Michael Bublé)
The Jackson 5,Santa Claus Is Coming To Town
Ella Fitzgerald,Sleigh Ride
Leona Lewis,One More Sleep
Andy Williams,Happy Holiday / The Holiday Season
"Michael Bublé, The Puppini Sisters",Jingle Bells (feat. The Puppini Sisters)
Michael Bublé,Santa Claus Is Coming to Town
SZA,BMF
Wizzard,I Wish It Could Be Christmas Everyday
Stevie Wonder,What Christmas Means To Me
Slade,Merry Xmas Everybody
Dean Martin,"Baby, It's Cold Outside"
"Nilo, Mc Paiva ZS, DJ Di Marques, Tropa da W&S, FamousKyo",Fui Mlk
"Alleh, Yorghaki",capaz (merengueton)
"Oruam, Zé Felipe, MC Tuto, Dj Lc da Roça, Mc Rodrigo do CN, MC K9, mc pl alves",Oh Garota Eu Quero Você Só Pra Mim.
Frank Sinatra,Santa Claus Is Coming To Town
Neton Vega,Loco
"Naughty Boy, Sam Smith",La La La
Bad Bunny,PIToRRO DE COCO
Grupo Menos É Mais,Coração Partido (Corazón Partío) - Ao Vivo
"Fuerza Regida, Grupo Frontera",ME JALO
"Danny Ocean, Kapo",Imagínate
Rihanna,Breakin' Dishes
Dionela,Marilag
Léo Foguete,Cópia Proibida
"Pitbull, Kesha",Timber
"J. Eskine, Alef Donk",Resenha do Arrocha
Lady Gaga,Poker Face
"Blessd, Anuel AA, Ovy On The Drums",DEPORTIVO
"SZA, Travis Scott",Open Arms (feat. Travis Scott)
SZA,Scorsese Baby Daddy
"Mark Ronson, Bruno Mars",Uptown Funk (feat. Bruno Mars)
Bad Bunny,NUEVAYoL
Bad Bunny,BAILE INoLVIDABLE
Bad Bunny,DtMF
Bad Bunny,VOY A LLeVARTE PA PR
"Bad Bunny, Omar Courtz, Dei V",VeLDÁ
"Bad Bunny, RaiNao",PERFuMITO NUEVO
"Bad Bunny, Chuwi",WELTiTA
Bad Bunny,EoO
Bad Bunny,KETU TeCRÉ
Bad Bunny,KLOuFRENS
Bad Bunny,BOKeTE
Bad Bunny,TURiSTA
"Bad Bunny, Los Pleneros de la Cresta",CAFé CON RON
Morgan Wallen,Smile
Bad Bunny,LA MuDANZA
Bad Bunny,LO QUE LE PASÓ A HAWAii
"Lil Baby, Young Thug, Future","Dum, Dumb, and Dumber (with Young Thug & Future)"
"Beéle, Ovy On The Drums",mi refe
"Henry Freitas, Mc Th",Imã de Problema
Doechii,DENIAL IS A RIVER
"J Balvin, Bad Bunny",LA CANCIÓN
Imogen Heap,Headlock
GELO,Tweaker
"Chrystal, NOTION",The Days - NOTION Remix
Andmesh,Anugerah Terindah
"Sam Barber, Avery Anna",Indigo (feat. Avery Anna)
"Eric Land, Natanzinho Lima",Pilantra e Meio
Avicii,The Nights
"Jombriel, Alex Krack, Jøtta",Parte & Choke
"Tenxi, Jemsii, Naykilla",Garam & Madu (Sakit Dadaku)
"Jasleen Royal, Stebin Ben, Vijay Deverakonda, Radhikka Madan, Priya Saraiya, Aditya Sharma",Sahiba
The Lantis,Bunga Maaf
"Central Cee, 21 Savage",GBP (feat. 21 Savage)
"Nuzio Medeiros, Henry Freitas, Kadu Martins",Tando
"Luis R Conriquez, Peso Pluma",Bandida
Lauv,I Like Me Better
"Carín León, Gabito Ballesteros",Ese Vato No Te Queda
Conan Gray,The Cut That Always Bleeds
Travis Scott,4X4
Tate McRae,Sports car
"Sexyy Red, Bruno Mars",Fat Juicy & Wet
"Central Cee, Dave",CRG (feat. Dave)
Natanzinho Lima,Uma e Quinze da Manhã
The Weeknd,Cry For Me
Lady Gaga,Abracadabra
"Gabito Ballesteros, Tito Double P",7 DIAS
"The Weeknd, Justice",Wake Me Up (feat. Justice)
The Weeknd,Open Hearts
The Weeknd,Baptized In Fear
"The Weeknd, Travis Scott, Florence + The Machine","Reflections Laughing (feat. Travis Scott, Florence + The Machine)"
"JENNIE, Dominic Fike",Love Hangover (feat. Dominic Fike)
Morgan Wallen,I'm The Problem
"The Weeknd, Lana Del Rey",The Abyss (feat. Lana Del Rey)
"The Weeknd, Future",Enjoy The Show (feat. Future)
The Weeknd,Niagara Falls
The Weeknd,Opening Night
The Weeknd,Given Up On Me
Fetty Wap,Again
The Weeknd,Take Me Back To LA
The Weeknd,I Can't Wait To Get There
"Chuyin, Fuerza Regida, Jorsshh, Calle 24",Pika Pika
"LISA, Doja Cat, RAYE",Born Again (feat. Doja Cat & RAYE)
"Alemán, Neton Vega",Te Quería Ver
Alex Warren,Ordinary
GIVĒON,TWENTIES
Doechii,NISSAN ALTIMA
Kendrick Lamar,PRIDE.
Neton Vega,Mi Vida Mi Muerte
"Anurag Saikia, Raj Shekhar, Romy, Amarabha Banerjee, Varun Jain, Madhubanti Bagchi, Mismatched - Cast",Ishq Hai
Sabrina Carpenter,Busy Woman
"Olly, Juli",Balorda nostalgia
Drake,NOKIA
Drake,GIMME A HUG
"PARTYNEXTDOOR, Drake",CN TOWER
"PARTYNEXTDOOR, Drake, Yebba",DIE TRYING
Fuerza Regida,Por Esos Ojos
Sabrina Carpenter,15 Minutes
"PARTYNEXTDOOR, Drake",MOTH BALLS
Fedez,BATTITO
JISOO,earthquake
"PARTYNEXTDOOR, Drake",SOMETHING ABOUT YOU
"PARTYNEXTDOOR, Drake",SOMEBODY LOVES ME
PARTYNEXTDOOR,DEEPER
"Neton Vega, Peso Pluma",Morena
Drake,CRYING IN CHANEL
Lucio Corsi,Volevo essere un duro
"PARTYNEXTDOOR, Drake",SPIDER-MAN SUPERMAN
Sabrina Carpenter,Couldn’t Make It Any Harder
Drake,SMALL TOWN FAME
SZA,Good Days
"Pimmie, PARTYNEXTDOOR, Drake",PIMMIE'S DILEMMA
"Kendrick Lamar, Zacari",LOVE. FEAT. ZACARI.
"Lil Wayne, Drake",She Will
Achille Lauro,Incoscienti Giovani
Giorgia,LA CURA PER ME
Sabrina Carpenter,Bad Reviews
John Legend,All of Me
"Daniel Caesar, Kali Uchis",Get You (feat. Kali Uchis)
Tate McRae,Revolving door
"JENNIE, Doechii",ExtraL (feat. Doechii)
"Don Toliver, Speedy, j-hope, Pharrell Williams",LV Bag (feat. j-hope of BTS & Pharrell Williams)
"Tate McRae, The Kid LAROI",I know love (feat. The Kid LAROI)
Tate McRae,Dear god
Tate McRae,Miss possessive
Tate McRae,Purple lace bra
"Selena Gomez, benny blanco, Gracie Abrams",Call Me When You Break Up (with Gracie Abrams)
"Tate McRae, Flo Milli",bloodonmyhands (feat. Flo Milli)
Neton Vega,M&M
Tate McRae,Signs
"Victor Valverde, JR Torres",El Mayor De Los Ranas
Nirvana,Smells Like Teen Spirit
"Sleepy Hallow, Doechii",ANXIETY (feat. Doechii)
"LISA, Future",FXCK UP THE WORLD (feat. Future)
Tito Double P,TATTOO
"W Sound, Beéle, Ovy On The Drums",La Plena - W Sound 05
Benson Boone,Sorry I'm Here For Someone Else
Oimara,Wackelkontakt
Tate McRae,Siren sounds (bonus)
Guns N' Roses,Sweet Child O' Mine
Doechii,Anxiety
JENNIE,like JENNIE
"JENNIE, Dua Lipa",Handlebars (feat. Dua Lipa)
Lady Gaga,Garden Of Eden
"j-hope, Miguel",Sweet Dreams (feat. Miguel)
Lady Gaga,Vanish Into You
Lady Gaga,How Bad Do U Want Me
Lady Gaga,Perfect Celebrity
"DG e Batidão Stronda, Mc Davi, J. Eskine, MC G15",Mãe Solteira
Lady Gaga,Zombieboy
Lady Gaga,Shadow Of A Man
"WizTheMc, bees & honey",Show Me Love
"Jombriel, DFZM, Jøtta",VITAMINA
Lady Gaga,LoveDrug
"Lady Gaga, Gesaffelstein",Killah (feat. Gesaffelstein)
"JENNIE, Childish Gambino, Kali Uchis",Damn Right (feat. Childish Gambino & Kali Uchis)
Empire Of The Sun,We Are The People
JENNIE,start a war
"Gotye, Kimbra",Somebody That I Used To Know
JENNIE,ZEN
Playboi Carti,EVIL J0RDAN
"Playboi Carti, The Weeknd",RATHER LIE (with The Weeknd)
"Playboi Carti, Travis Scott",CRUSH (with Travis Scott)
Chappell Roan,The Giver
"Playboi Carti, Kendrick Lamar",GOOD CREDIT (with Kendrick Lamar)
"Playboi Carti, Travis Scott",PHILLY (with Travis Scott)
Playboi Carti,MOJO JOJO
"Playboi Carti, Kendrick Lamar, Jhené Aiko",BACKD00R (feat. Kendrick Lamar & Jhené Aiko)
"Playboi Carti, Skepta",TOXIC (with Skepta)
Playboi Carti,POP OUT
Playboi Carti,K POP
Playboi Carti,FINE SHIT
Playboi Carti,RADAR
Lil Tecca,Dark Thoughts
Playboi Carti,HBA
"Playboi Carti, Travis Scott",WAKE UP F1LTHY (with Travis Scott)
Earl Agustin,Tibok
"Playboi Carti, Future, Travis Scott",CHARGE DEM HOES A FEE (with Future & Travis Scott)
Playboi Carti,I SEEEEEE YOU BABY BOI
"Playboi Carti, Future",TRIM (with Future)
Playboi Carti,CRANK
"Playboi Carti, Young Thug, Ty Dolla $ign",WE NEED ALL DA VIBES (with Young Thug & Ty Dolla $ign)
"Playboi Carti, Lil Uzi Vert",JUMPIN (with Lil Uzi Vert)
Playboi Carti,MUNYUN
Playboi Carti,COCAINE NOSE
Playboi Carti,OLYMPIAN
Sleep Token,Emergence
"Playboi Carti, Lil Uzi Vert",TWIN TRIM (with Lil Uzi Vert)
Playboi Carti,LIKE WEEZY
Playboi Carti,OPM BABI
LE SSERAFIM,HOT
"Oscar Maydon, Neton Vega",Amigos? No.
Peso Pluma,RARI
Playboi Carti,DIS 1 GOT IT
j-hope,MONA LISA
sombr,back to friends
"Selena Gomez, benny blanco, The Marías",Ojos Tristes (with The Marías)
Morgan Wallen,Just In Case
"Selena Gomez, benny blanco",Sunset Blvd
"Xavi, Manuel Turizo",En Privado
"Sachet-Parampara, Parampara Tandon, Kausar Munir","Raanjhan (From ""Do Patti"")"
Ravyn Lenae,Love Me Not
"Selena Gomez, benny blanco",How Does It Feel To Be Forgotten
Beéle,sobelove
Olivia Rodrigo,traitor
"Jack Harlow, Doja Cat",Just Us (feat. Doja Cat)
Cazzu,Con otra
Ariana Grande,twilight zone
Ariana Grande,dandelion
Ariana Grande,warm
Ariana Grande,Hampstead
Ariana Grande,past life
Ariana Grande,intro (end of the world) - extended
Linkin Park,Up From the Bottom
NIKI,You'll Be in My Heart
"BLOK3, Ati242",Keşke
sombr,undressed
ATLXS,PASSO BEM SOLTO - Slowed
"Maanu, Annural Khalid",Jhol
"Miguel Bueno, Juan Duque",Solcito
"Emilia, TINI, Nicki Nicole",blackout 🧊
"Clave Especial, Fuerza Regida",COMO CAPO
Ed Sheeran,Azizam
Cup of Joe,Multo
Sleep Token,Caramel
Malcolm Todd,Chest Pain (I Love)
Miley Cyrus,End of the World
"BigXthaPlug, Bailey Zimmerman",All The Way (feat. Bailey Zimmerman)
"Los Dareyes De La Sierra, Tito Double P",Vita Fer
Evanescence,Bring Me To Life
Leon Thomas,MUTT
Diego & Victor Hugo,Tubarões - Ao Vivo
Lana Del Rey,"Henry, come on"
Esau Ortiz,Triple Lavada
"De La Rose, Omar Courtz",NUBES
"Kushagra, Bharath, Saaheal",Finding Her
Raim Laode,Lesung Pipi
"Clave Especial, Edgardo Nuñez",TU TU TU
MXZI,MONTAGEM TOMADA - Slowed
Katy Perry,Last Friday Night (T.G.I.F.)
"Lady Gaga, Colby O'Donis",Just Dance
The Script,The Man Who Can't Be Moved
Lady Gaga,Bad Romance
Faris Adam,Stecu Stecu
"Neton Vega, Tito Double P",Chiquita
Nirvana,Come As You Are
"Morgan Wallen, Post Malone",I Ain't Comin' Back (feat. Post Malone)
Lady Gaga,Judas
Charli xcx,party 4 u
"Afusic, AliSoomroMusic",Pal Pal
Addison Rae,Headphones On
"Fourtwnty, Charita Utami",Mangu
"Fuerza Regida, Grupo Frontera",COQUETA
Raim Laode,Komang
"Dj Guuga, Mc Livinho",Vidrado Em Você
Lorde,What Was That
d4vd,Feel It
Benson Boone,Mystical Magical
Sleep Token,Damocles
Lorde,Ribs
"HUGEL, Topic, Arash, Daecolm",I Adore You (feat. Daecolm)
KATSEYE,Gnarly
"Maroon 5, LISA",Priceless (feat. LISA)
"WizTheMc, bees & honey, Tyla",Show Me Love (with Tyla)
Jessie Murph,Blue Strips
"Pashanim, Ceren",Shabab(e)s im VIP
"Lady Gaga, Bradley Cooper",Shallow
Ed Sheeran,Old Phone
Fuerza Regida,Marlboro Rojo
"MOLIY, Silent Addy, Skillibeng, Shenseea",Shake It To The Max (FLY) - Remix
"ROSÉ, F1 The Album",Messy (From F1® The Movie)
"wifiskeleton, i wanna be a jack-o-lantern",Nope your too late i already died
Connie Francis,Pretty Little Baby
Young Miko,WASSUP
Sleep Token,Even In Arcadia
Sleep Token,Dangerous
Sleep Token,Look To Windward
"Calvin Harris, Clementine Douglas",Blessings
Fuerza Regida,ANSIEDAD
KAROL G,Milagros
System Of A Down,Chop Suey!
Jin,Don’t Say You Love Me
"Morgan Wallen, Tate McRae",What I Want (feat. Tate McRae)
Fuerza Regida,TU SANCHO
KAJ,Bara Bada Bastu
Morgan Wallen,Superman
Tommy Cash,Espresso Macchiato
Morgan Wallen,I Got Better
Abor & Tynna,Baller
JJ,Wasted Love
"Yb Wasg'ood, Ariis",LUNA BALA - Slowed
"Grupo Menos É Mais, Simone Mendes",P do Pecado - Ao Vivo
"Alex Warren, Jelly Roll",Bloodline
Beéle,no tiene sentido
Tito Double P,CHAMPAGNE
KAROL G,LATINA FOREVA
"Mora, C. Tangana",DROGA
mgk,cliché
"Nicky Jam, Beéle",Hiekka
"Calvin Harris, Ellie Goulding",Outside (feat. Ellie Goulding)
"Tate McRae, F1 The Album",Just Keep Watching (From F1® The Movie)
Lil Tecca,OWA OWA
Miley Cyrus,Easy Lover
Radiohead,Let Down
Black Eyed Peas,Rock That Body
Danny Ocean,Me Rehúso
Taylor Swift,Style
"Danny Ocean, Sech",Priti
Shubh,Supreme
Sabrina Carpenter,Manchild
Ed Sheeran,Sapphire
Addison Rae,Fame is a Gun
"Esau Ortiz, Luis R Conriquez, Oscar Maydon, Alemán, Victor Mendivil",Triple Lavada (feat. Victor Mendivil) - Remix
Lola Young,One Thing
"Myke Towers, Quevedo",SOLEAO
"j-hope, GloRilla",Killin' It Girl (feat. GloRilla)
"Oscar Maydon, Peso Pluma",Asquerosamente Rico
j-hope,Killin' It Girl (Solo Version)
Calle 24,SUIZA
"Repsaj, MXZI, ATLXS, Mc Jhey",MONTAGEM BAILÃO
Beéle,top diesel
"Dj Caio Vieira, MC Meno K, Mc Rodrigo do CN",FAMOSINHA
"Nelly Furtado, Timbaland",Promiscuous
"Ovy On The Drums, Quevedo, Beéle",YO y TÚ
Twenty One Pilots,The Contract
KATSEYE,Gabriela
"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",Golden
"KAROL G, Feid",Verano Rosa
"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",Your Idol
KAROL G,Papasito
"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",How It’s Done
"Fred again.., Skepta, Plaqueboymax",Victory Lap
sombr,we never dated
"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",Soda Pop
"KAROL G, Marco Antonio Solís",Coleccionando Heridas
"Rumi, Jinu, KPop Demon Hunters Cast, EJAE, Andrew Choi",Free
"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",What It Sounds Like
Los Dareyes De La Sierra,Frecuencia
